Starting epoch 1/30, LR = [0.01]
Step 0, Loss 0.014304161071777344
Step 10, Loss 0.0011602193117141724
Step 20, Loss 0.018943414092063904
Step 30, Loss 0.007932379841804504
Step 40, Loss 0.010502368211746216
Step 50, Loss 0.001496434211730957
Step 60, Loss 0.015104293823242188
Step 70, Loss 0.018022164702415466
Step 80, Loss 0.004643291234970093
Step 90, Loss 0.0004191100597381592
Step 100, Loss 0.024468660354614258
Step 110, Loss 0.00256994366645813
Step 120, Loss 0.0036133229732513428
Step 130, Loss 0.030714601278305054
Step 140, Loss 0.0801764577627182
Step 150, Loss 0.0011505335569381714
Step 160, Loss 0.11941921710968018
Step 170, Loss 0.00048547983169555664
Step 180, Loss 0.006764143705368042
Step 190, Loss 0.00030666589736938477
Step 200, Loss 0.017898768186569214
Step 210, Loss 0.005692034959793091
Step 220, Loss 0.0016908347606658936
Step 230, Loss 0.01833103597164154
Step 240, Loss 0.0010022372007369995
Step 250, Loss 0.01061837375164032
Step 260, Loss 0.0809411108493805
Step 270, Loss 0.0026710927486419678
Step 280, Loss 0.0035151392221450806
Step 290, Loss 0.08517225086688995
Step 300, Loss 0.011018142104148865
Step 310, Loss 0.0004900991916656494
Step 320, Loss 0.004563093185424805
Step 330, Loss 0.00046122074127197266
Step 340, Loss 0.0029720067977905273
Step 350, Loss 0.07800135016441345
Step 360, Loss 0.03894291818141937
Step 370, Loss 0.036773696541786194
Step 380, Loss 0.015704110264778137
Step 390, Loss 8.875131607055664e-05
Step 400, Loss 0.46094435453414917
Step 410, Loss 0.0027188658714294434
Step 420, Loss 0.012636050581932068
Step 430, Loss 0.0272657573223114
Step 440, Loss 0.000780254602432251
Step 450, Loss 0.00544053316116333
Step 460, Loss 0.0014317482709884644
Step 470, Loss 0.08136270940303802
Step 480, Loss 0.17270103096961975
Step 490, Loss 0.06426432728767395
Step 500, Loss 0.006061568856239319
Step 510, Loss 0.13592635095119476
Step 520, Loss 0.0016067475080490112
Step 530, Loss 0.0044211894273757935
Step 540, Loss 0.013246148824691772
Starting epoch 2/30, LR = [0.01]
Step 550, Loss 0.0073167383670806885
Step 560, Loss 0.004912838339805603
Step 570, Loss 0.001128166913986206
Step 580, Loss 0.008594974875450134
Step 590, Loss 0.00555071234703064
Step 600, Loss 0.0007896870374679565
Step 610, Loss 0.02000570297241211
Step 620, Loss 0.00028549134731292725
Step 630, Loss 0.0060270726680755615
Step 640, Loss 0.01316043734550476
Step 650, Loss 0.4649387001991272
Step 660, Loss 0.0041192322969436646
Step 670, Loss 0.014187797904014587
Step 680, Loss 0.0103425532579422
Step 690, Loss 0.01562848687171936
Step 700, Loss 0.008490309119224548
Step 710, Loss 0.1614101529121399
Step 720, Loss 0.0004966557025909424
Step 730, Loss 0.004776626825332642
Step 740, Loss 0.001083269715309143
Step 750, Loss 0.0006638616323471069
Step 760, Loss 0.004393398761749268
Step 770, Loss 0.004150837659835815
Step 780, Loss 0.011598348617553711
Step 790, Loss 0.0006855279207229614
Step 800, Loss 0.111418217420578
Step 810, Loss 0.0013630539178848267
Step 820, Loss 0.1306748390197754
Step 830, Loss 0.0020884722471237183
Step 840, Loss 0.0011310279369354248
Step 850, Loss 0.009152010083198547
Step 860, Loss 0.0026345402002334595
Step 870, Loss 0.002785980701446533
Step 880, Loss 0.00039634108543395996
Step 890, Loss 0.00033067166805267334
Step 900, Loss 0.004819810390472412
Step 910, Loss 0.000533372163772583
Step 920, Loss 0.03225290775299072
Step 930, Loss 0.02880990505218506
Step 940, Loss 0.008770778775215149
Step 950, Loss 0.00196857750415802
Step 960, Loss 0.0022391825914382935
Step 970, Loss 0.10380464792251587
Step 980, Loss 0.0017242729663848877
Step 990, Loss 0.11881604790687561
Step 1000, Loss 0.261284202337265
Step 1010, Loss 0.0031910985708236694
Step 1020, Loss 0.023708626627922058
Step 1030, Loss 0.0015104562044143677
Step 1040, Loss 0.12213213741779327
Step 1050, Loss 0.006363779306411743
Step 1060, Loss 0.01665697991847992
Step 1070, Loss 0.0002628117799758911
Step 1080, Loss 0.06404925882816315
Starting epoch 3/30, LR = [0.01]
Step 1090, Loss 0.06731325387954712
Step 1100, Loss 0.11147220432758331
Step 1110, Loss 0.026821106672286987
Step 1120, Loss 0.0018979460000991821
Step 1130, Loss 0.000989288091659546
Step 1140, Loss 0.03300485014915466
Step 1150, Loss 0.0019149333238601685
Step 1160, Loss 0.002041056752204895
Step 1170, Loss 0.06944268941879272
Step 1180, Loss 0.0010905861854553223
Step 1190, Loss 0.012005031108856201
Step 1200, Loss 0.0004339367151260376
Step 1210, Loss 0.08133217692375183
Step 1220, Loss 0.003688037395477295
Step 1230, Loss 0.0026439130306243896
Step 1240, Loss 0.0015724897384643555
Step 1250, Loss 0.0005019903182983398
Step 1260, Loss 0.0010184794664382935
Step 1270, Loss 0.0008692741394042969
Step 1280, Loss 0.001451045274734497
Step 1290, Loss 0.003040000796318054
